Altium Designer Pick and Place Locations
C:\Users\Wim\SynologyDrive\Drive\Electronics\Fri3d_IRA\Fri3D_IRA_02\.\OUTPUT\Pick Place\Pick Place for Fri3D_IRA_02.csv

========================================================================================================================
File Design Information:

Date:       05/04/24
Time:       20:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Value"
"P1","2 Way Screw HDR 3.5mm Rising Cage","TopLayer","WE_691103110002","26.5000","33.0000","270","",""
"M2","SMD Spacer 1mm M3 Internal Thread","TopLayer","WE_9774010360","4.2500","63.7500","0","Screw Hole","9774010360"
"M1","SMD Spacer 1mm M3 Internal Thread","TopLayer","WE_9774010360","4.2500","3.7500","0","Screw Hole","9774010360"
"C1","CAP_CERAMIC","TopLayer","C0805_N","21.5000","4.2500","270","Capacitor Ceramic","10uF 10V"
"J1","USB 2.0 C Reversible Receptacle Horizontal","TopLayer","HRO_TYPE-C-31-M-12","65.0000","19.0000","90","","TYPE-C-31-M-12"
"P3","Header 4x2","TopLayer","HDR2X4","31.6900","54.1100","270","",""
"P4","3 Way Screw HDR 3.5mm Rising Cage","TopLayer","WE_691103110003","26.5000","24.2500","270","",""
"P5","3 Way Screw HDR 5,08mm","TopLayer","TERM_BLK-0508-3-90","13.0000","14.0000","180","","PM5.08/3/90"
"P6","3 Way Screw HDR 3.5mm Rising Cage","TopLayer","WE_691103110003","10.2500","49.0000","0","",""
"P7","Header 3X2","TopLayer","HDR2X3","49.5000","64.2700","180","",""
"P8","3 Way Screw HDR 3.5mm Rising Cage","TopLayer","WE_691103110003","26.5000","34.7500","270","",""
"P9","2 Way Screw HDR 5,08mm","TopLayer","TERM_BLK-0508-2-90","10.4600","14.0000","180","","PM5.08/2/90"
"P10","2 Way Screw HDR 3.5mm Rising Cage","TopLayer","WE_691103110002","26.5000","43.5000","270","",""
"P11","Easy to solder connection","TopLayer","SOLDER_SW_V_1MM","31.9450","57.9200","90","","NO BOM"
"P12","Header 4X2","TopLayer","HDR2X4_SMD","31.7000","54.1100","270","",""
"P17","Easy to solder connection","TopLayer","SOLDER_SW_V_1MM","31.9450","55.3800","90","","NO BOM"
"P18","Easy to solder connection","TopLayer","SOLDER_SW_V_1MM","31.9450","52.8400","90","","NO BOM"
"P19","Easy to solder connection","TopLayer","SOLDER_SW_V_1MM","31.9450","50.3000","90","","NO BOM"
"R6","","TopLayer","R0603_N","52.2501","59.9999","270","","5K1"
"R11","","TopLayer","R0603_N","53.7501","59.9999","270","","5K1"
"R12","","TopLayer","R0603_N","55.2501","59.9999","270","","5K1"
"R17","","TopLayer","R0603_N","56.7501","59.9999","270","","5K1"
"R27","","TopLayer","R0603_N","66.2501","25.2501","0","","5K1"
"R28","","TopLayer","R0603_N","62.9999","25.2499","180","","5K1"
"T1","0.2A N-Ch MOSFET Vgs 3.2","TopLayer","SOT23-3","46.7500","16.0000","90","","BSS138"
"U13","USB to full UART with internal crystal","TopLayer","SOIC_N_16","52.7500","18.5000","180","=Description","CH340C"
"U12","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","37.7500","90","=Description","SN74AHCT1G125DCKR"
"U11","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","33.7500","90","=Description","SN74AHCT1G125DCKR"
"U10","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","29.7500","90","=Description","SN74AHCT1G125DCKR"
"U9","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","25.7500","90","=Description","SN74AHCT1G125DCKR"
"R26","","TopLayer","R0603_N","62.7499","10.2499","180","","5K1"
"R25","","TopLayer","R0603_N","31.0001","37.7499","270","","1K"
"R24","","TopLayer","R0603_N","31.0001","33.7499","270","","1K"
"R23","","TopLayer","R0603_N","31.0001","29.7499","270","","1K"
"R22","","TopLayer","R0603_N","31.0001","25.7499","270","","1K"
"P13","6 pin tagconnect TC2030","TopLayer","TC2030","57.0000","30.4997","180","","TC2030"
"D4","Default 0805 Green LED","TopLayer","LED_0805_GR","66.2500","10.2500","180","=Description",""
"D3","Default 0805 Red LED","TopLayer","LED_0805_RD","66.2500","12.0000","180","=Description",""
"C22","","TopLayer","C0805_N","58.5000","16.0000","180","Capacitor Ceramic","10uF 10V"
"C21","","TopLayer","C0603_N","58.2499","17.7499","0","Capacitor Ceramic","100nF 16V"
"C20","","TopLayer","C0603_N","33.2499","35.7499","0","Capacitor Ceramic","100nF 16V"
"C17","","TopLayer","C0603_N","33.2499","31.7499","0","Capacitor Ceramic","100nF 16V"
"C16","","TopLayer","C0603_N","33.2499","27.7499","0","Capacitor Ceramic","100nF 16V"
"C3","","TopLayer","C0603_N","33.2499","15.7499","0","Capacitor Ceramic","100nF 16V"
"R18","","TopLayer","R0603_N","20.7999","60.2001","90","","100R"
"U8","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","45.7500","90","=Description","SN74AHCT1G125DCKR"
"U3","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","16.5000","60.2000","90","=Description","SN74AHCT1G125DCKR"
"D2","ZIRM-5042B-42-Z2 Infrared Receiver 38 kHz 45° 2.7-5.5V 940nm","TopLayer","CHAU_ZIRM-5042B-42-Z2","44.0000","31.2500","90","=Description","ZIRM-5042B-42-Z2"
"R21","","TopLayer","R0603_N","24.7499","8.9999","180","","0R"
"R20","","TopLayer","R0603_N","62.7499","11.9999","180","","5K1"
"P16","Header 6","TopLayer","HDR1X6","53.0200","9.2000","180","",""
"R19","","TopLayer","R1206","14.0000","56.0000","0","","120R"
"P15","Header 2","TopLayer","HDR1X2","8.7700","56.0000","180","",""
"P14","Easy to solder connection","TopLayer","SOLDER_SW_V_1MM","8.5000","56.0000","270","","NO BOM"
"U7","Mornsun K7805-500R3-LB 5V 500mA 4.75~36Vin","TopLayer","K78xx-500R3-LB","15.2500","7.7500","270","=Designator","K7805-500R3-LB"
"U6","3V3 LDO 700mA 50mV","TopLayer","SOT23-5","34.2500","12.5000","0","=Designator","XC6210B332MR"
"U5","RS-485 5V Transceiver 500kbps","TopLayer","SOIC_N_8","11.7500","61.7500","270","","WS3085"
"U4","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","21.7500","90","=Description","SN74AHCT1G125DCKR"
"U2","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","17.7500","90","=Description","SN74AHCT1G125DCKR"
"U1","SN74AHCT1G125DCKR  Buffer, Tri-State, 4.5V to 5.5V","TopLayer","TI_DCK_R-PDSO-G5","33.5000","41.7500","90","=Description","SN74AHCT1G125DCKR"
"T6","-2.3A -20V P-Ch MOSFET Vgs -1V","TopLayer","SOT23-3","24.7500","6.5000","90","=Description","SL2301"
"T2","0.2A N-Ch MOSFET Vgs 3.2","TopLayer","SOT23-3","46.7500","19.5000","90","","BSS138"
"SW3","4.5x4.5mm tact SMD H3,8mm","TopLayer","WE_430181038816","44.0000","4.5000","0","","430181038816"
"SW2","4.5x4.5mm tact SMD H3,8mm","TopLayer","WE_430181038816","55.5000","4.5000","0","","430181038816"
"R16","","TopLayer","R0603_N","62.7499","8.4999","180","","5K1"
"R15","","TopLayer","R0603_N","50.4999","11.4999","180","","100R"
"R14","","TopLayer","R0603_N","54.0001","11.5001","0","","100R"
"R13","","TopLayer","R0603_N","40.9999","37.0001","90","","5K1"
"R10","","TopLayer","R0603_N","31.0001","45.7499","270","","1K"
"R9","","TopLayer","R0603_N","31.0001","41.7499","270","","1K"
"R7","","TopLayer","R0603_N","44.4999","37.0001","90","","5K1"
"R5","","TopLayer","R0603_N","16.2499","62.2999","180","","5K1"
"R4","","TopLayer","R0603_N","16.2501","63.6501","0","","5K1"
"R3","","TopLayer","R0603_N","31.0001","21.7499","270","","1K"
"R2","","TopLayer","R0603_N","31.0001","17.7499","270","","1K"
"R1","","TopLayer","R0603_N","16.2501","65.0001","0","","5K1"
"D13","30V 1A 350mV@100mA SOD-123 Schottky","TopLayer","ON_SOD-123FL_AC","28.7500","6.5000","270","=Description","LMBR130T1G"
"D10","Default 0805 Green LED","TopLayer","LED_0805_GR","66.2500","8.5000","180","=Description",""
"D7","Default 0805 Green LED","TopLayer","LED_0805_GR","42.7500","36.7500","90","=Description",""
"D6","IRM-3638N3F14 Infrared Receiver 38 kHz 45° 2.7-5.5V","TopLayer","VIS_TSOP381x_BENT","45.7500","31.2500","90","=Description","IRM-3638N3F14"
"D1","30V 1A 350mV@100mA SOD-123 Schottky","TopLayer","ON_SOD-123FL_AC","2.5000","14.5000","90","=Description","LMBR130T1G"
"C19","","TopLayer","C0603_N","37.2499","12.5001","270","Capacitor Ceramic","1uF 16V"
"C18","","TopLayer","C0603_N","31.2499","12.5001","270","Capacitor Ceramic","1uF 16V"
